Name,dist_gaia,e_dist_gaia,Per,Mode,RAdeg,DEdeg
VY____Cyg,2187.2265966754157,59.321108000282415,7.8575841,False,316.06930218182,39.97223311596
VY____Per,2244.1651705565528,87.63122647242137,5.5319054,False,36.89776104185,58.91715104777
VZ____Cyg,1923.076923076923,60.65088787154685,4.8647985,False,327.92264896468,43.13402308887
V_____Car,1261.5112905260503,22.120608708056857,6.6967453,False,127.18202311384,-60.12256315649
V_____Cen,719.527989638797,11.441623516343679,5.4940002,False,218.13779279681,-56.88774644776
V_____Lac,2116.4021164021165,71.6665300969591,4.9825772,False,342.15828864485,56.32153324908
V_____Vel,1058.2010582010582,19.48433721830749,4.3710577,False,140.56728700328,-55.96025800321
WW____Car,1949.6977968414894,67.66352102834449,4.6768391,False,162.89898382019,-59.38499263907
WX____Pup,2713.70420624152,110.46285531555647,8.9363892,False,115.49583823728,-25.87616986726
WZ____Sgr,1741.5534656913967,84.01433324356206,21.8532997,False,274.24882157138,-19.07583147548
W_____Gem,1028.4891494394733,29.829676595348324,7.9128942,False,98.73938107213,15.33046066377
XX____Car,3418.803418803419,169.47913896141412,15.7070571,False,164.28833612032,-65.13474394719
XX____Cen,1812.9079042784626,86.10983946462335,10.9526746,False,205.07765290606,-57.61318392067
XX____Sgr,1455.6040756914117,57.41902652606704,6.4243335,False,276.18541940721,-16.79717387453
XX____Vel,3447.0872113064456,149.71836924840875,6.984581,False,159.03578076992,-56.04322576617
XY____Car,2646.202699126753,95.23248792073275,12.4360971,False,165.56688072032,-64.262892833
XY____Cas,2457.6062914721065,88.78548270608961,4.5017086,False,12.47192037703,60.12737898732
XZ____Car,2171.5526601520087,84.88153355067543,16.6528143,False,166.05606746912,-60.97991402523
X_____Cru,1568.1354869060685,46.72192769823847,6.2201526,False,191.59277853009,-59.12472733986
X_____Cyg,1130.965844831486,25.453766114777512,16.3512537,False,310.85076233271,35.58777650649
X_____Sct,1677.8523489932886,54.05162186374225,4.1980485,False,277.83228317708,-13.10818493797
X_____Sgr,356.4172933670742,17.784660257273284,7.0130211,False,266.89007492147,-27.83083461775
X_____Vul,1195.886151638364,30.748090329358224,6.3196496,False,299.36918285728,26.5564491634
YZ____Sgr,1214.3290831815423,35.685201765340715,9.5537875,False,282.36912121969,-16.72304157114
Y_____Aur,1975.8940920766647,66.37068047970068,3.8595469,False,82.16349483157,42.43772581388
Y_____Lac,2447.980416156671,77.30464734606348,4.3233568,False,332.26206158309,51.04584489597
Y_____Oph,761.8467164406521,21.010858246051637,17.1294208,False,268.16124433489,-6.1435971224
Y_____Sct,1928.6403085824495,75.50896819971788,10.3414413,False,279.51377343258,-8.36894716336
Y_____Sgr,506.3803929511849,14.87242350924411,5.773383,False,275.34576074156,-18.86003402735
Z_____Lac,2055.076037813399,87.84542067999625,10.8856559,False,340.21724149798,56.82945573799
bet___Dor,341.20376688958646,16.19402349659674,9.8422891,False,83.4063106733,-62.48976923943
del___Cep,281.286039773846,11.670470316555738,5.3662532,False,337.2928846512,58.41520817274
